File Created on  2/15, at 13:50:51:340
#Frame RunTime Hour Min Sec mSec AudTimeStmp
277 2.762000 13 51  3   5 0
278 2.771000 13 51  3  15 0
279 2.781000 13 51  3  25 0
280 2.791000 13 51  3  35 0
281 2.801000 13 51  3  45 0
282 2.811000 13 51  3  55 0
283 2.821000 13 51  3  65 0
284 2.831000 13 51  3  75 0
285 2.841000 13 51  3  85 0
286 2.851000 13 51  3  95 0
287 2.861000 13 51  3 105 0
288 2.871000 13 51  3 115 0
289 2.881000 13 51  3 125 0
290 2.891000 13 51  3 135 0
291 2.901000 13 51  3 145 0
292 2.911000 13 51  3 155 0
293 2.921000 13 51  3 165 0
294 2.931000 13 51  3 175 0
295 2.941000 13 51  3 185 0
296 2.951000 13 51  3 195 0
297 2.961000 13 51  3 205 0
298 2.971000 13 51  3 215 0
299 2.981000 13 51  3 225 0
300 2.991000 13 51  3 235 0
301 3.001000 13 51  3 245 0
302 3.011000 13 51  3 255 0
303 3.021000 13 51  3 265 0
304 3.031000 13 51  3 275 0
305 3.041000 13 51  3 285 0
306 3.051000 13 51  3 295 0
307 3.061000 13 51  3 305 0
308 3.071000 13 51  3 315 0
309 3.081000 13 51  3 325 0
310 3.091000 13 51  3 335 0
311 3.101000 13 51  3 345 0
312 3.111000 13 51  3 355 0
313 3.121000 13 51  3 365 0
314 3.131000 13 51  3 375 0
315 3.141000 13 51  3 385 0
316 3.151000 13 51  3 395 0
317 3.161000 13 51  3 405 0
318 3.171000 13 51  3 415 0
319 3.181000 13 51  3 425 0
320 3.191000 13 51  3 435 0
321 3.201000 13 51  3 445 0
322 3.211000 13 51  3 455 0
323 3.221000 13 51  3 465 0
324 3.231000 13 51  3 475 0
325 3.242000 13 51  3 486 0
326 3.251000 13 51  3 495 0
327 3.262000 13 51  3 506 0
328 3.271000 13 51  3 515 0
329 3.281000 13 51  3 525 0
330 3.291000 13 51  3 535 0
331 3.301000 13 51  3 545 0
332 3.311000 13 51  3 555 0
333 3.321000 13 51  3 565 0
334 3.332000 13 51  3 575 0
335 3.341000 13 51  3 585 0
336 3.351000 13 51  3 595 0
337 3.362000 13 51  3 606 0
338 3.371000 13 51  3 615 0
339 3.381000 13 51  3 625 0
340 3.391000 13 51  3 635 0
341 3.401000 13 51  3 645 0
342 3.411000 13 51  3 655 0
343 3.421000 13 51  3 666 0
344 3.431000 13 51  3 675 0
